pubs_name,pubs_location,pubs_type_name,Foster,KF,KF_ULTRA,KF_ULTRA_MAX,KF_PREMIUM,KF_STRONG,KF_STORM,KF_BLUE,Heineken,Corona,Corona_Extra,Budweiser,Budweiser_Magnum,Budweiser_Premium,Carlsberg,Carlsberg_Elephant,Stella_Artois,Hoagearden,Asahi,Tuborg,Tuborg_Premium,Tuborg_Strong,Tuborg_Green,Miller,Miller_Ace,Miller_high_life,Miller_Ultra_Max,Peroni,Bira_White,Bira_Blonde,Bira_Lite,Bira_IPA,Bira_Pale_Ale,Bira_Strong,Sol_Cerveza,Leffe_Blonde,UB,White_Owl_Spark,White_Owl_Diablo,Kings_Goa,Affligem_Blonde,Edelweiss,Desperades,Dos_Equis,Schneider_Weisse,Whitlinger,Amstel,Geist_Witty_wit,Geist_Weiss_Guy,Geist_Uncle_Dunkel,Estrella_Damm_Barcelona,Tsing_Tao,Cass,KronenBourg,Knock Out,Singha,Hywards 5000,Parga
Checkered Bar - MGM Mark,MGM Mark Whitefield,Lounge,175,175,,,,,,,275,,,,,,,,,,,,,,,175,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strona,Hotel Marks Grandeur,Bar,,250,,,,,,,300,,,280,,,270,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap House Resto Bar,Electronic City,Bar,195,130,250,,195,210,,,175,400,,255,265,,,250,,,,,205,225,,230,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Aqua Bar - Golden Palms Hotel & Spa,Golden Palms Hotel & Spa,Bar,175,,,,,,,,175,350,,350,,,,,,,,,,,,175,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAT Bar - Sterlings MAC Hotel,Sterlings Mac Hotel,Lounge,299,,,,,,,,449,499,,349,,,349,,549,499,519,299,,,,349,,,,399,,,,,,,,549,,,,,,,,,,,,549,549,549,,,,,,,,
Ujwal Restaurant,Sanjay Nagar,Bar,190,,230,240,180,,190,,260,,,220,240,,230,230,,,,180,,190,,220,230,,,,150,150,150,150,,,,,150,,,,,,,,,,,,,,,,,,,,190,
Talk To The Hand,Majestic,Bar,,,,,210,220,,,,,,250,,,,,,,,220,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,220,,,
Viceroy's Sarathi,Indiranagar,Bar,190,,250,,180,190,,,,,,250,280,,,,,,,180,,190,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,
One Down Four Up,Koramangala 4th Block,Bar,240,240,340,360,,275,270,,380,520,,320,,,300,,,,,250,,275,,,,,,,450,450,,,,,,,,,,,,,,,,,,,,,,,,,,,275,
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,Malleshwaram,Bar,,,300,,250,,,,350,,600,350,,,250,,600,600,,,,,,,,,,,400,400,,,,,600,600,,,,,,,,,,,,,,,,,,,,,,
Amazing Blue Pub,"Hotel Dew Drops Hotel, Seshadripuram",Pub,110,,,,100,,,,200,300,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Club Lounge,"Fortune Select Trinity, Whitefield",Lounge,200,200,250,250,,,,,250,500,,250,,,250,,,,,250,,,,,,200,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,
Clove Rooftop,"Hotel Kandi Tree, Jayanagar",Lounge,240,,280,,240,240,,,,350,,,280,280,,,,,,,,240,240,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Bar And Restaurant,Kammanahalli,Bar,180,,,,170,180,200,,,,,210,235,,,,,,,,,180,170,,,,,,,,,,,,,,145,,,,,,,,,,190,,,,,,,,,,,
Samrat Regency Bar And Restaurant,Koramangala 6th Block,Bar,135,135,190,,,140,,140,,,,190,,,,,,,,135,,140,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,140,,140,
Primal,Koramangala 6th Block,Bar,,,250,,200,,,,275,600,,250,,,,,600,600,,,,,,,,,,,300,300,,,,,600,,,,,,,,,,,,,,,,,,,,,,,
